schema_version,timestamp,unit,target_value
1,2021-08-12,shares,0.0
1,2021-08-13,shares,0.0
1,2021-08-16,shares,0.0
1,2021-08-17,shares,665.8232796754437
1,2021-08-18,shares,683.2467858908121
1,2021-08-19,shares,681.6632725308194
1,2021-08-20,shares,674.8093552366302
1,2021-08-23,shares,667.9580222791967
1,2021-08-24,shares,668.3598667522785
1,2021-08-25,shares,674.036125563501
1,2021-08-26,shares,677.7823271691781
1,2021-08-27,shares,672.9474824539336
1,2021-08-30,shares,653.0825704602909
1,2021-08-31,shares,658.6313560825263
1,2021-09-01,shares,655.694732160768
1,2021-09-02,shares,650.8298338584449
1,2021-09-03,shares,648.0881271690992
1,2021-09-07,shares,638.2028109125513
1,2021-09-08,shares,644.7037560860297
1,2021-09-09,shares,649.055593212013
1,2021-09-10,shares,671.2760903575967
1,2021-09-13,shares,668.6726710757135
1,2021-09-14,shares,675.1282966279023
1,2021-09-15,shares,671.00584324699
1,2021-09-16,shares,-672.0882082956582
1,2021-09-17,shares,-684.6501552205201
1,2021-09-20,shares,-699.5942233944752
1,2021-09-21,shares,-697.2042467160037
1,2021-09-22,shares,-685.6358986301719
1,2021-09-23,shares,-681.0597204450207
1,2021-09-24,shares,-680.6425350278636
1,2021-09-27,shares,-687.8998648888082
1,2021-09-28,shares,-704.6719570108817
1,2021-09-29,shares,-700.1330162992239
1,2021-09-30,shares,-706.7137809187279
1,2021-10-01,shares,-701.0165038812842
1,2021-10-04,shares,-718.7005924871355
1,2021-10-05,shares,-708.6669943126922
1,2021-10-06,shares,-704.2253521126761
1,2021-10-07,shares,-697.8854399156268
1,2021-10-08,shares,-699.7900928703972
1,2021-10-11,shares,-700.2310882259544
1,2021-10-12,shares,-706.6638674427288
1,2021-10-13,shares,-709.6728223766979
1,2021-10-14,shares,-695.6038106640641
1,2021-10-15,shares,-690.4170293315567
1,2021-10-18,shares,0.0
1,2021-10-19,shares,0.0
1,2021-10-20,shares,669.9718858385735
1,2021-10-21,shares,668.9858366217277
1,2021-10-22,shares,672.5401732332788
1,2021-10-25,shares,672.7664182630788
1,2021-10-26,shares,669.7026191732623
1,2021-10-27,shares,671.8172381562176
1,2021-10-28,shares,655.4368171949752
1,2021-10-29,shares,667.5567287234883
1,2021-11-01,shares,671.3211297854397
1,2021-11-02,shares,666.5777706443974
1,2021-11-03,shares,660.1095542538117
1,2021-11-04,shares,662.4271035542687
1,2021-11-05,shares,661.0259175496853
1,2021-11-08,shares,664.7168198428357
1,2021-11-09,shares,663.086012988942
1,2021-11-10,shares,676.0411116675788
1,2021-11-11,shares,0.0
1,2021-11-12,shares,0.0
1,2021-11-15,shares,0.0
1,2021-11-16,shares,0.0
1,2021-11-17,shares,0.0
1,2021-11-18,shares,633.4325906944484
1,2021-11-19,shares,622.8589106146712
1,2021-11-22,shares,621.0408480103542
1,2021-11-23,shares,619.5402870403054
1,2021-11-24,shares,617.5126496998935
1,2021-11-26,shares,637.714441406288
1,2021-11-29,shares,624.0638827503415
1,2021-11-30,shares,604.9606663872146
1,2021-12-01,shares,606.9065813377152
1,2021-12-02,shares,610.6497517977483
1,2021-12-03,shares,617.8942304918206
1,2021-12-06,shares,604.8874641281872
1,2021-12-07,shares,584.1804199010701
1,2021-12-08,shares,571.1674603276282
1,2021-12-09,shares,572.8689356015456
1,2021-12-10,shares,557.2582986938833
1,2021-12-13,shares,569.0224016972038
1,2021-12-14,shares,573.6247286735602
1,2021-12-15,shares,557.7244746121584
1,2021-12-16,shares,580.5178404091474
1,2021-12-17,shares,584.3169355886336
1,2021-12-20,shares,589.101620029455
1,2021-12-21,shares,578.0680780656525
1,2021-12-22,shares,569.3463923223723
1,2021-12-23,shares,567.2793322695692
1,2021-12-27,shares,554.53889527316
1,2021-12-28,shares,557.7556123860624
1,2021-12-29,shares,557.4757346301177
1,2021-12-30,shares,561.1672374441442
1,2021-12-31,shares,563.1581679073402
1,2022-01-03,shares,549.4203781004137
1,2022-01-04,shares,556.4830367181494
1,2022-01-05,shares,571.6899213743169
1,2022-01-06,shares,581.3953488372093
1,2022-01-07,shares,0.0
1,2022-01-10,shares,0.0
1,2022-01-11,shares,-571.1674603276282
1,2022-01-12,shares,-569.7031886027372
1,2022-01-13,shares,-580.7538102221035
1,2022-01-14,shares,-577.8008653611837
1,2022-01-18,shares,-588.9281401810009
1,2022-01-19,shares,-601.5761449209564
1,2022-01-20,shares,-607.8658035323481
1,2022-01-21,shares,-615.72561877437
1,2022-01-24,shares,-618.735323729542
1,2022-01-25,shares,-625.8605630491297
1,2022-01-26,shares,-626.213278672171
1,2022-01-27,shares,-628.0617964660407
1,2022-01-28,shares,-587.0956315681077
1,2022-01-31,shares,-572.1478469986421
1,2022-02-01,shares,-572.7048831707731
1,2022-02-02,shares,-568.6988289503942
1,2022-02-03,shares,578.3690198385445
1,2022-02-04,shares,580.080053100834
1,2022-02-07,shares,582.546882597283
1,2022-02-08,shares,571.9842072451274
1,2022-02-09,shares,567.2793322695692
1,2022-02-10,shares,580.9900234537843
1,2022-02-11,shares,592.979129280869
1,2022-02-14,shares,592.1364111126773
1,2022-02-15,shares,578.7372179267597
1,2022-02-16,shares,579.5421514423513
1,2022-02-17,shares,592.1364111126773
1,2022-02-18,shares,0.0
1,2022-02-22,shares,0.0
1,2022-02-23,shares,-624.7266534913808
1,2022-02-24,shares,-614.4770592637133
1,2022-02-25,shares,-606.612049120618
1,2022-02-28,shares,-605.6201729477335
1,2022-03-01,shares,-612.7451094972406
1,2022-03-02,shares,-600.3842547177105
1,2022-03-03,shares,-601.5761449209564
1,2022-03-04,shares,-612.8577625922418
1,2022-03-07,shares,-627.7463784323295
1,2022-03-08,shares,-635.1625917766138
1,2022-03-09,shares,-613.685190996125
1,2022-03-10,shares,-630.8352088366213
1,2022-03-11,shares,-646.2870985667704
1,2022-03-14,shares,-663.9224753804871
1,2022-03-15,shares,-644.7869131554594
1,2022-03-16,shares,-626.6056914261457
1,2022-03-17,shares,-622.5874924665545
1,2022-03-18,shares,-609.8304830191299
1,2022-03-21,shares,0.0
1,2022-03-22,shares,592.3468526331127
1,2022-03-23,shares,587.5095238560548
1,2022-03-24,shares,574.4815062467501
1,2022-03-25,shares,572.3443183455672
1,2022-03-28,shares,569.4760622106718
1,2022-03-29,shares,558.7840648658806
1,2022-03-30,shares,562.5245969321912
1,2022-03-31,shares,572.7048831707731
1,2022-04-01,shares,573.6905593517969
1,2022-04-04,shares,560.4124559056576
1,2022-04-05,shares,571.2327281766889
1,2022-04-06,shares,581.9705460884601
1,2022-04-07,shares,580.9225069976005
1,2022-04-08,shares,587.924052872257
1,2022-04-11,shares,603.3182503770739
1,2022-04-12,shares,596.4451736595046
1,2022-04-13,shares,-586.8544811142928
1,2022-04-14,shares,-604.9973020864635
1,2022-04-18,shares,-605.8035715936398
1,2022-04-19,shares,-597.3715868940669
1,2022-04-20,shares,-597.9788468267731
1,2022-04-21,shares,-600.8893227993103
1,2022-04-22,shares,-618.0851977856601
1,2022-04-25,shares,-613.9489010449572
1,2022-04-26,shares,-637.7550896283542
1,2022-04-27,shares,-638.6919289907428
1,2022-04-28,shares,-611.0975334452721
1,2022-04-29,shares,-634.3165485033996
1,2022-05-02,shares,-633.0716368045145
1,2022-05-03,shares,-627.0378898858471
1,2022-05-04,shares,-602.3370523222411
1,2022-05-05,shares,-637.8771274778012
1,2022-05-06,shares,-635.8087536631086
1,2022-05-09,shares,-657.6351545807877
1,2022-05-10,shares,-647.2073235079672
1,2022-05-11,shares,-682.5938566552901
1,2022-05-12,shares,-701.4590468051803
1,2022-05-13,shares,-679.7634395017695
1,2022-05-16,shares,-687.0963626018533
1,2022-05-17,shares,-670.0616210080514
1,2022-05-18,shares,-710.1263655651126
1,2022-05-19,shares,-728.0669498087514
1,2022-05-20,shares,-726.7970249408402
1,2022-05-23,shares,-698.7631861750318
1,2022-05-24,shares,-712.4536874120317
1,2022-05-25,shares,-711.6424491854215
1,2022-05-26,shares,-695.5070305258562
1,2022-05-27,shares,-668.2705186305798
1,2022-05-31,shares,-671.8624191106803
1,2022-06-01,shares,-672.4497040230111
1,2022-06-02,shares,661.3318931281364
1,2022-06-03,shares,687.8525013161728
1,2022-06-06,shares,684.2753552596724
1,2022-06-07,shares,672.4497040230111
1,2022-06-08,shares,675.8583094240137
1,2022-06-09,shares,701.0656227418431
1,2022-06-10,shares,0.0
1,2022-06-13,shares,-758.2650614007725
1,2022-06-14,shares,-753.2389585542722
1,2022-06-15,shares,-738.3888754937727
1,2022-06-16,shares,-768.8759178620519
1,2022-06-17,shares,-760.1094698672546
1,2022-06-21,shares,-735.9976712573683
1,2022-06-22,shares,-738.8252345073413
1,2022-06-23,shares,-723.2226579161021
1,2022-06-24,shares,-705.9155542486236
1,2022-06-27,shares,-705.9155542486236
1,2022-06-28,shares,-727.5902082629273
1,2022-06-29,shares,0.0
1,2022-06-30,shares,0.0
1,2022-07-01,shares,0.0
1,2022-07-05,shares,0.0
1,2022-07-06,shares,699.6921444246752
1,2022-07-07,shares,683.2934460506169
1,2022-07-08,shares,680.0870821954186
1,2022-07-11,shares,690.2740620589412
1,2022-07-12,shares,685.5889180141899
1,2022-07-13,shares,687.3324367610843
1,2022-07-14,shares,673.536735891504
1,2022-07-15,shares,665.911974557643
1,2022-07-18,shares,679.9482900653429
1,2022-07-19,shares,662.2516556291391
1,2022-07-20,shares,653.4239701189347
1,2022-07-21,shares,643.7077313879614
1,2022-07-22,shares,648.9713957856073
1,2022-07-25,shares,653.8084471740113
1,2022-07-26,shares,659.6305803029977
1,2022-07-27,shares,637.7958051028531
1,2022-07-28,shares,635.5258730286489
1,2022-07-29,shares,615.3467686923929
1,2022-08-01,shares,619.1567296212587
1,2022-08-02,shares,624.9609613962446
1,2022-08-03,shares,601.9382234445827
1,2022-08-04,shares,603.0999425391229
1,2022-08-05,shares,604.7777218550332
1,2022-08-08,shares,606.5385028301922
1,2022-08-09,shares,606.3546029000026
1,2022-08-10,shares,590.8768420835297
1,2022-08-11,shares,593.5070137086391
1,2022-08-12,shares,581.0575040877771
1,2022-08-15,shares,577.4005346170721
1,2022-08-16,shares,577.934466309232
1,2022-08-17,shares,572.9017373339597
1,2022-08-18,shares,574.217648606066
1,2022-08-19,shares,583.0223735369617
1,2022-08-22,shares,596.7655047392666
1,2022-08-23,shares,597.9788468267731
1,2022-08-24,shares,596.9080208240165
1,2022-08-25,shares,588.1315104271832
1,2022-08-26,shares,611.1722465727875
1,2022-08-29,shares,-619.6554528091375
1,2022-08-30,shares,-629.287003306791
1,2022-08-31,shares,-636.0513880140572
1,2022-09-01,shares,-633.0716368045145
1,2022-09-02,shares,-641.8073394962612
1,2022-09-06,shares,-647.1235409949247
1,2022-09-07,shares,-641.1900211280799
1,2022-09-08,shares,-647.4167787992343
1,2022-09-09,shares,-635.4451490294181
1,2022-09-12,shares,-611.8827906844729
1,2022-09-13,shares,-650.026016513692
1,2022-09-14,shares,-643.8735533575232
1,2022-09-15,shares,-656.2971923907339
1,2022-09-16,shares,-663.5700200733576
1,2022-09-19,shares,-647.3330059923937
1,2022-09-20,shares,-637.3486544937379
1,2022-09-21,shares,-650.533432252744
1,2022-09-22,shares,-654.7073222704287
1,2022-09-23,shares,-664.7610507801327
1,2022-09-26,shares,-663.2619033377955
1,2022-09-27,shares,-658.9351846312538
1,2022-09-28,shares,-667.3785534170667
1,2022-09-29,shares,-701.8529126799491
1,2022-09-30,shares,-723.5890174256036
1,2022-10-03,shares,-702.0007170399169
1,2022-10-04,shares,-684.4626681887161
1,2022-10-05,shares,-683.0601377668594
1,2022-10-06,shares,-687.6160698360071
1,2022-10-07,shares,-713.826844272339
1,2022-10-10,shares,-712.14927577257
1,2022-10-11,shares,-719.5280117582049
1,2022-10-12,shares,-722.8567489314767
1,2022-10-13,shares,-699.3495780009654
1,2022-10-14,shares,-722.6477559722973
1,2022-10-17,shares,-702.1978613052077
1,2022-10-18,shares,-695.6521739130435
1,2022-10-19,shares,-695.1202528550832
1,2022-10-20,shares,-697.3987058069488
1,2022-10-21,shares,-679.0249005153299
1,2022-10-24,shares,669.1201207225998
1,2022-10-25,shares,656.4264303787934
1,2022-10-26,shares,669.5681011937103
1,2022-10-27,shares,690.6077202516057
1,2022-10-28,shares,642.0957780458621
1,2022-10-31,shares,652.1455744634695
1,2022-11-01,shares,663.7902691765966
1,2022-11-02,shares,689.5125204556994
1,2022-11-03,shares,720.0460576335694
1,2022-11-04,shares,722.6477559722973
1,2022-11-07,shares,-719.8387656065661
1,2022-11-08,shares,-716.8458781362007
1,2022-11-09,shares,-741.4547610319906
1,2022-11-10,shares,-680.8742651636235
1,2022-11-11,shares,-668.0026856284729
1,2022-11-14,shares,-674.3997897440108
1,2022-11-15,shares,0.0
1,2022-11-16,shares,672.0882082956582
1,2022-11-17,shares,663.481947917234
1,2022-11-18,shares,660.9822489110122
1,2022-11-21,shares,675.6300500732837
1,2022-11-22,shares,665.8676579901477
1,2022-11-23,shares,661.9447617116024
1,2022-11-25,shares,675.1738544858996
1,2022-11-28,shares,693.3851002189894
1,2022-11-29,shares,708.3658092870762
1,2022-11-30,shares,675.5387477175725
1,2022-12-01,shares,0.0
1,2022-12-02,shares,0.0
1,2022-12-05,shares,0.0
1,2022-12-06,shares,0.0
1,2022-12-07,shares,-709.5217700281618
1,2022-12-08,shares,-701.0165038812842
1,2022-12-09,shares,-703.4327337081626
1,2022-12-12,shares,-692.0893916412169
1,2022-12-13,shares,-687.4269551169023
1,2022-12-14,shares,-698.2752273715024
1,2022-12-15,shares,-732.6007326007326
1,2022-12-16,shares,-743.4391798664292
1,2022-12-19,shares,-755.4582132564841
1,2022-12-20,shares,-755.8578812797039
1,2022-12-21,shares,-738.2798246810721
1,2022-12-22,shares,-756.2580596769494
1,2022-12-23,shares,-758.380096595795
